Player,Year,pctl_pre,pctl_post,col_match,best_dom,alpha,breakout_age,ever_breakout,nfl_entry_age,swrm_hits,swrm_tested,bench_pass,draft_pick,n_col_seasons
Ja'Marr Chase,2021,1.0,1.0,repo_id,0.3116767901073302,1.0,19.62217659137577,1.0,20.83778234086242,8,8,,5.0,2
D.J. Moore,2018,0.9949664429530202,0.9949664429530202,repo_id,0.5329037800687285,1.0,19.50444900752909,1.0,20.71731690622861,8,8,True,24.0,3
Amari Cooper,2015,0.976510067114094,0.988255033557047,repo_id,0.4719794344473008,1.0,18.32991101984942,1.0,20.542094455852155,7,8,,4.0,3
John Ross,2017,0.976510067114094,0.988255033557047,repo_id,0.3395593166589343,1.0,20.88432580424367,1.0,21.097878165639973,3,7,,9.0,3
N'Keal Harry,2019,0.9614093959731544,0.9798657718120806,repo_id,0.4047158903204493,1.0,18.82819986310746,1.0,21.0403832991102,6,8,True,32.0,3
DeVante Parker,2015,0.947986577181208,0.976510067114094,repo_id,0.290220925571244,1.0,18.73237508555784,1.0,21.94661190965092,5,6,True,14.0,4
Jalen Reagor,2020,0.929530201342282,0.9731543624161074,repo_id,0.4611211176031279,1.0,18.784394250513348,1.0,20.996577686516083,5,8,True,21.0,3
Phillip Dorsett,2015,0.9278523489932886,0.971476510067114,repo_id,0.3713870610663551,1.0,19.77549623545517,1.0,21.987679671457904,5,8,True,29.0,4
CeeDee Lamb,2020,0.9211409395973156,0.9664429530201344,search_school,0.353786423310919,1.0,19.520876112251884,1.0,20.733744010951405,3,5,True,17.0,3
Skyy Moore,2022,0.947986577181208,0.9580536912751678,repo_id,0.4133270034682386,1.0,21.09514031485284,1.0,21.308692676249144,4,8,,54.0,3
Elijah Moore,2021,0.947986577181208,0.9580536912751678,search_school,0.4552874101843174,1.0,19.550992470910334,1.0,20.76659822039699,5,8,True,34.0,3
Devin Funchess,2015,0.947986577181208,0.9580536912751678,repo_id,0.3794809010773751,1.0,19.4031485284052,1.0,20.61601642710472,6,8,True,41.0,3
Tre'Quan Smith,2018,0.976510067114094,0.9546979865771812,search_school,0.3350277748663662,1.0,19.770020533880903,1.0,21.984941820670773,7,8,True,91.0,3
Chris Godwin,2017,0.976510067114094,0.9546979865771812,repo_id,0.3241757203589985,1.0,19.630390143737166,1.0,20.84599589322382,6,8,True,84.0,3
Tyler Boyd,2016,0.9379194630872484,0.947986577181208,repo_id,0.496154688602789,1.0,18.915811088295687,1.0,21.127994524298423,3,8,True,55.0,3
Juju Smith-Schuster,2017,0.9379194630872484,0.947986577181208,repo_id,0.3591984463276836,1.0,18.89390828199863,1.0,20.109514031485283,5,8,True,62.0,3
James Washington,2018,0.9379194630872484,0.947986577181208,repo_id,0.335766065830721,1.0,18.535249828884325,1.0,21.749486652977414,3,8,True,60.0,4
Christian Kirk,2018,0.912751677852349,0.9429530201342282,repo_id,0.3679647052274118,1.0,18.90485968514716,1.0,21.11978097193703,4,8,True,47.0,3
Alec Pierce,2022,0.9093959731543624,0.9395973154362416,repo_id,0.2520975224558286,1.0,21.453798767967147,1.0,21.66735112936345,6,8,,53.0,3
Justin Jefferson,2020,0.8825503355704698,0.9362416107382552,search_school,0.3236086353733413,1.0,19.33196440793977,1.0,20.54483230663929,5,6,,22.0,2
Courtland Sutton,2018,0.9043624161073824,0.9345637583892618,repo_id,0.4239267676767677,1.0,20.01368925393566,1.0,22.22861054072553,7,8,True,40.0,4
Rashod Bateman,2021,0.8489932885906041,0.9261744966442952,repo_id,0.3625089388046981,1.0,18.87748117727584,1.0,21.09240246406571,6,8,,27.0,3
Breshad Perriman,2015,0.8439597315436241,0.9228187919463088,repo_id,0.3662961752206604,1.0,21.09514031485284,1.0,21.308692676249144,4,6,True,26.0,3
Zay Jones,2017,0.8691275167785235,0.9194630872483222,search_school,0.3703293954669642,1.0,20.54483230663929,1.0,21.760438056125945,6,8,True,37.0,4
Nelson Agholor,2015,0.8355704697986577,0.9177852348993288,repo_id,0.3241003032237472,1.0,20.39425051334702,1.0,21.607118412046542,5,8,True,20.0,3
Sammie Coates,2015,0.889261744966443,0.9144295302013424,repo_id,0.3612097440132122,1.0,20.542094455852155,1.0,21.75496235455168,7,8,True,87.0,3
Tyler Lockett,2015,0.8859060402684564,0.912751677852349,repo_id,0.4660219103046902,1.0,20.046543463381244,1.0,22.258726899383984,5,8,,69.0,4
Tyquan Thornton,2022,0.8489932885906041,0.9093959731543624,repo_id,0.3750586235197561,1.0,19.18685831622177,1.0,21.40177960301164,4,6,,50.0,4
Terrace Marshall Jr.,2021,0.8439597315436241,0.9077181208053692,search_school,0.3276607900750898,1.0,20.35044490075291,1.0,20.56399726214921,6,6,True,59.0,3
Leonte Carroo,2016,0.8791946308724832,0.906040268456376,repo_id,0.4259345546966006,1.0,19.72347707049966,1.0,21.935660506502398,5,6,True,86.0,3
Calvin Ridley,2018,0.8171140939597316,0.9043624161073824,repo_id,0.3124516370040291,1.0,20.8186173853525,1.0,23.033538672142367,3,8,True,26.0,3
Drake London,2022,0.8120805369127517,0.9026845637583892,repo_id,0.3180633147113594,1.0,19.227926078028748,1.0,20.44079397672827,2,3,,8.0,3
A.J. Brown,2019,0.8355704697986577,0.8993288590604027,search_school,0.35527150469424,1.0,20.292950034223136,1.0,21.505817932922657,8,8,True,51.0,3
Tee Higgins,2020,0.8338926174496645,0.8976510067114094,repo_id,0.2974132947976878,1.0,19.73990417522245,1.0,20.95277207392197,2,7,,33.0,3
Jaelen Strong,2015,0.860738255033557,0.8959731543624161,repo_id,0.3108664725732812,1.0,19.720739219712527,1.0,20.933607118412045,6,8,,70.0,2
Taywan Taylor,2017,0.8557046979865772,0.8926174496644296,repo_id,0.3857602188638864,1.0,20.621492128678987,1.0,21.83709787816564,5,8,True,72.0,4
Dyami Brown,2021,0.8557046979865772,0.8926174496644296,search_school,0.2929742485716651,1.0,19.95345653661876,1.0,21.169062286105408,5,7,True,82.0,3
Treylon Burks,2022,0.7953020134228188,0.889261744966443,repo_id,0.4484897518878101,1.0,20.56399726214921,1.0,21.77686516084873,4,8,True,18.0,3
Denzel Mims,2020,0.8204697986577181,0.8859060402684564,repo_id,0.3928171380565668,1.0,20.01368925393566,1.0,22.2258726899384,6,8,True,59.0,4
Corey Coleman,2016,0.7919463087248322,0.8842281879194631,repo_id,0.4083301130325572,1.0,20.27652292950034,1.0,21.489390828199863,3,6,True,15.0,3
Christian Watson,2022,0.8087248322147651,0.8808724832214765,none,,,,,22.64202600958248,5,6,,34.0,0
David Bell,2022,0.8422818791946308,0.8791946308724832,repo_id,0.4352211434735706,1.0,18.833675564681723,1.0,21.048596851471597,2,8,,99.0,3
Jahan Dotson,2022,0.7869127516778524,0.87751677852349,repo_id,0.4276352838785645,1.0,20.566735112936342,1.0,21.779603011635867,4,7,,16.0,4
Justin Watson,2018,0.9630872483221476,0.87248322147651,none,,,,,21.744010951403148,6,8,True,144.0,0
Will Fuller,2016,0.7600671140939598,0.8691275167785235,none,,,,,21.711156741957563,5,8,True,21.0,0
Tylan Wallace,2021,0.929530201342282,0.8640939597315436,repo_id,0.363387297633873,1.0,19.42505133470226,1.0,21.639972621492127,4,8,True,131.0,4
Stefon Diggs,2015,0.929530201342282,0.8640939597315436,repo_id,0.3708768239070044,1.0,18.87748117727584,1.0,21.089664613278572,4,8,True,146.0,3
Gabriel Davis,2020,0.929530201342282,0.8640939597315436,repo_id,0.3161487191841323,1.0,,1.0,,4,8,True,128.0,3
Bryan Edwards,2020,0.8120805369127517,0.8624161073825504,repo_id,0.4029808773903262,1.0,17.921971252566735,1.0,21.13347022587269,3,3,,81.0,4
Corey Davis,2017,0.7533557046979866,0.860738255033557,repo_id,0.500162965631406,1.0,18.75975359342916,1.0,21.973990417522245,3,4,,5.0,4
J.J. Arcega-Whiteside,2019,0.7785234899328859,0.8590604026845637,repo_id,0.3878169335495586,1.0,19.789185489390828,1.0,22.001368925393567,4,8,,57.0,3
Khalil Shakir,2022,0.912751677852349,0.8540268456375839,repo_id,0.4623449497932664,1.0,19.696098562628336,1.0,21.911019849418206,4,8,,148.0,4
Tajae Sharpe,2016,0.912751677852349,0.8540268456375839,repo_id_schoolmismatch,0.4033623394305333,1.0,18.811772758384667,1.0,21.02395619438741,1,6,True,140.0,4
Antonio Gandy-Golden,2020,0.912751677852349,0.8540268456375839,repo_id,0.5480984340044742,1.0,19.512662559890487,1.0,21.724845995893222,5,8,True,142.0,4
Wan'Dale Robinson,2022,0.7718120805369127,0.8523489932885906,repo_id_schoolmismatch,0.3732455392658257,1.0,19.77549623545517,1.0,20.98836413415469,1,6,,43.0,3
Brandon Aiyuk,2020,0.7365771812080537,0.8506711409395973,repo_id,0.374711120924413,1.0,21.579739904175224,1.0,21.793292265571527,5,6,True,25.0,2
Rashard Higgins,2016,0.9093959731543624,0.8489932885906041,repo_id,0.4592800765367137,1.0,19.02258726899384,1.0,21.234770704996578,2,8,True,172.0,3
Romeo Doubs,2022,0.8976510067114094,0.8456375838926175,repo_id,0.3262297730271128,1.0,19.50444900752909,1.0,21.71937029431896,2,3,,132.0,4
Cooper Kupp,2017,0.7734899328859061,0.8439597315436241,fuzzy,0.5808219178082192,1.0,20.33401779603012,1.0,23.548254620123203,5,8,,69.0,4
Jerry Jeudy,2020,0.7046979865771812,0.8422818791946308,repo_id,0.2697921938259109,1.0,19.477070499657767,1.0,20.689938398357288,5,7,,15.0,3
Pharoh Cooper,2016,0.8926174496644296,0.8406040268456376,repo_id,0.4306756437514765,1.0,19.60848733744011,1.0,20.82135523613963,2,8,True,117.0,3
Dante Pettis,2018,0.7449664429530202,0.8389261744966443,repo_id,0.3162827234695555,1.0,20.980150581793293,1.0,22.19301848049281,2,3,,44.0,4
Michael Thomas,2016,0.7365771812080537,0.8355704697986577,repo_id,0.3959052417193697,1.0,21.61806981519507,1.0,22.830937713894592,7,8,True,47.0,3
Chase Claypool,2020,0.7365771812080537,0.8355704697986577,repo_id,0.3338513925762247,1.0,21.27310061601643,1.0,21.48665297741273,6,6,True,49.0,4
Laquon Treadwell,2016,0.6929530201342282,0.8338926174496645,repo_id,0.2896411334011886,1.0,20.33675564681725,1.0,20.550308008213552,4,8,True,23.0,3
Nico Collins,2021,0.7634228187919463,0.8322147651006712,repo_id,0.2517755289788408,1.0,19.575633127994525,1.0,21.790554414784395,6,8,True,89.0,3
Michael Gallup,2018,0.7600671140939598,0.8305369127516778,repo_id,0.4410026625105526,1.0,20.61601642710472,1.0,21.828884325804243,4,8,True,81.0,2
Amara Darboh,2017,0.7550335570469798,0.8288590604026845,repo_id,0.3313860667634252,1.0,20.700889801505816,1.0,22.915811088295687,8,8,True,106.0,3
Josh Reynolds,2017,0.8741610738255033,0.8271812080536913,repo_id,0.3966174253843835,1.0,19.66050650239562,1.0,21.87542778918549,5,8,,117.0,3
K.J. Hamler,2020,0.7231543624161074,0.825503355704698,repo_id,0.3171080987139381,1.0,19.27173169062286,1.0,20.484599589322382,0,3,True,46.0,2
Jameson Williams,2022,0.6778523489932886,0.8238255033557047,repo_id,0.3111879065641632,1.0,20.555783709787818,1.0,20.76933607118412,1,3,,12.0,3
Andy Isabella,2019,0.6963087248322147,0.8221476510067114,repo_id_schoolmismatch,0.4780170270942083,1.0,19.906913073237508,1.0,22.119096509240247,5,8,True,62.0,4
Diontae Johnson,2019,0.7315436241610739,0.8187919463087249,repo_id,0.3951946560711552,1.0,21.27857631759069,1.0,22.49144421629021,1,8,True,66.0,3
Kevin White,2015,0.6560402684563759,0.8154362416107382,repo_id,0.3678718757583111,1.0,21.305954825462013,1.0,22.51882272416153,7,8,True,7.0,2
Kenny Golladay,2017,0.7281879194630873,0.8137583892617449,repo_id,0.4207271481089164,1.0,21.94661190965092,1.0,23.16221765913758,8,8,True,96.0,3
Rondale Moore,2021,0.6845637583892618,0.8120805369127517,repo_id,0.3716143786178804,1.0,18.349075975359344,1.0,20.56399726214921,5,8,,49.0,3
Miles Boykin,2019,0.7114093959731543,0.8104026845637584,repo_id,0.3045301794878474,1.0,22.00684462696783,1.0,22.220396988364133,8,8,True,93.0,3
Mike Williams,2017,0.6342281879194631,0.8053691275167785,repo_id,0.2817273795534665,1.0,20.030116358658454,1.0,22.245037645448324,3,6,True,7.0,4
Parris Campbell,2019,0.6526845637583892,0.802013422818792,repo_id,0.2077137176938369,1.0,21.24845995893224,1.0,21.462012320328544,6,7,True,59.0,3
Josh Malone,2017,0.8171140939597316,0.7969798657718121,repo_id,0.3532027649769585,1.0,20.56947296372348,1.0,20.78302532511978,6,8,True,128.0,3
Chris Olave,2022,0.6191275167785235,0.7953020134228188,repo_id,0.3326623376623376,1.0,19.299110198494184,1.0,21.51403148528405,4,6,,11.0,4
Tyler Johnson,2020,0.8120805369127517,0.7936241610738255,repo_id,0.6126165822134098,1.0,19.14031485284052,1.0,21.352498288843258,2,3,,161.0,4
Josh Doctson,2016,0.6090604026845637,0.7919463087248322,repo_id_schoolmismatch,0.3263767079352645,1.0,18.863791923340177,1.0,23.077344284736483,7,8,True,22.0,4
